#漢字	音標	解釋
僑	tɕʰiɑu2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	～宜
便	kin3	
便	pʰiɛn6	
促	tsʰəu7	
俄	ŋo2	
俏	tɕʰiɑu5	
俗	səu7	
俘	fu2	
保	pɑu3	
信	ɕin5	
儉	tɕʰiɛn6	
修	ɕiəu1	
俱	tʂʰʯ6	
倒	tɑu3	
倒	tɑu5	
倔	tʂʯe7	
倘	tʰɑŋ3	
候	xəu6	
借	tɕie5	
倡	tʂʰɑŋ5	
倦	tʂʰʯan6	
倪	ȵi2	
債	tʂai5	
值	tʂʰʅ6	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiɛn1	
做	tso5	
停	tʰin2	
健	tɕʰiɛn6	
偶	ŋiəu3	
偷	tʰəu1	
傅	fu5	
傣	tai3	
儲	tʂʰʯ2	
催	tsʰei1	
傲	ŋɑu6	
傻	ʂa3	
像	tɕʰiɑŋ6	
僧	tsən1	
僵	tɕiɑŋ1	
僻	pʰi7	
儒	ʯ2	
兒	ʐo2	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂʰɑu6	
先	ɕiɛn1	
光	kuɑŋ1	
克	kʰie7	
免	niɛn3	
兌	tei6	
黨	tɑŋ3	
兜	təu1	
入	ɳʯ7	
全	tɕʰiɛn2	
八	pa7	
公	koŋ1	
六	ləu7	
蘭	lan2	
共	kʰoŋ6	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tʂʰʯ6	
典	tiɛn3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiɛn1	
獸	ʂəu5	
內	nei6	
岡	kɑŋ5	
冊	tsʰe7	
再	tsai5	
冒	mɑu6	
軍	tʂʯən1	
農	noŋ2	
冠	kon1	
冤	ʯan1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
冲	tʂʰoŋ5	
决	tʂʯe7	
况	kʰuɑŋ5	
冶	ie3	
凍	toŋ5	
淨	tɕʰin6	
準	tʂʯən3	
凉	liɑŋ2	
凌	lin2	
減	tɕiɛn3	
湊	tsʰəu5	
几	tɕi1	～乎
几	tɕi3	
凡	fan2	
鳳	foŋ6	
凭	pʰin2	
凱	kʰai3	
凰	xuɑŋ2	
凳	tən1	
凳	tən5	
凶	ɕioŋ1	
出	tʂʰʯ7	
擊	tɕi7	
凼	tʰɑŋ6	
函	xon2	
鑿	tsʰo6	
刀	tɑu1	
刁	tiɑu1	
分	fən1	
切	tɕʰie7	
刑	ɕin2	
划	xua2	
划	xua6	
列	lie7	
劉	liəu2	
剛	kɑŋ1	
創	tsʰɑŋ5	
初	tsʰəu1	
刪	ʂan1	
判	pʰon5	
利	li6	
别	pʰie6	
刮	kua7	
到	tɑu5	
刷	ʂʯa7	
券	tʂʯan5	
刺	tsʰɿ5	
刻	kʰie7	
剁	to5	
剃	tʰi5	
削	ɕio7	
前	tɕʰiɛn2	
劍	tɕiɛn5	
剔	tʰi1	
剝	po7	
劇	tʂʯ5	
剩	ʂən6	
剪	tɕiɛn3	
副	fu5	
割	ko7	
剿	tɕiɑu3	
力	li7	
勸	tʂʰʯan5	
辦	pʰan6	
功	koŋ1	
加	tɕia1	
劣	lie7	
動	tʰoŋ6	
助	tsʰəu6	
努	nəu3	
劫	tɕie7	
勵	li6	
勁	tɕin5	
勞	lɑu2	
勢	ʂʅ5	
勇	ioŋ3	
勉	niɛn3	
募	mu6	
勤	tɕʰin2	
勾	kiəu1	
勻	ʯən1	
包	pɑu1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
化	xua5	
北	pe7	
匙	tʂʰʅ2	
匠	tɕʰiɑŋ6	
匪	fei3	
匹	pʰi2	
區	tʂʰʯ1	
醫	i1	
匾	piɛn3	
十	ʂʅ6	
千	tɕʰiɛn1	
升	ʂən1	
午	u3	
半	pon5	
華	xua2	
卒	tsəu7	
單	tan1	
單	ʂan6	
賣	mai6	
南	non2	
博	po7	
卜	pʰo1	
占	tʂan1	
卡	kʰa3	
盧	ləu2	
卦	kua5	
衛	uei6	
卯	mɑu3	
印	in5	
危	uei2	
即	tɕi7	
卻	tɕʰio7	
卵	lon3	
廠	tʂʰɑŋ3	
厄	ŋie7	
廳	tʰin1	
历	li7	
厲	li6	
壓	ŋa7	
廁	sɿ1	茅～
廁	tsʰe7	
厚	xəu6	
原	ʯan2	
廂	ɕiɑŋ1	
厦	ɕia6	～门
廚	tʂʰʯ2	
去	tɕʰi5	
縣	ɕiɛn6	
参	tsʰon1	
参	sən1	人～
又	iəu6	
叉	tʂʰa1	
及	tɕi7	
友	iəu3	
雙	ʂʯɑŋ1	
反	fan3	
发	fa7	
叔	ʂʯ7	
取	tɕʰi3	
受	ʂəu6	
變	piɛn5	
叛	pʰon5	
疊	tʰie6	
口	kʰiəu3	
古	ku3	
句	tʂʯ5	
另	lin6	
叩	kʰiəu5	
只	tʂʅ7	
叫	tɕiɑu5	
召	tʂɑu1	
召	tʂʰɑu6	
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu6	
葉	ie7	
號	xɑu2	
號	xɑu6	
司	sɿ1	
嘆	tʰan5	
吃	tɕʰi7	
各	ko7	
合	xo6	
吉	tɕi7	
吊	tiɑu5	
同	tʰoŋ2	
名	min2	
后	xəu6	
吏	li6	
向	ɕiɑŋ5	
吕	ʯ3	
君	tʂʯən1	
吞	tʰən1	
否	fu3	
含	xon2	
启	tɕʰi3	
吴	u2	
吵	tʂʰɑu3	
吸	ɕi7	
吹	tʂʰʯei1	
吻	pʰɑu2	
吼	xəu3	
呈	tʂʰən2	
告	kɑu5	
員	ʯan2	
周	tʂəu1	
味	uei6	
呸	pʰe5	
呼	xu1	
命	min5	
和	xo2	
咒	tʂəu5	
咪	mi1	
咬	ŋɑu3	
咳	kʰie7	
咸	xan2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	
哈	xa1	
哉	tsai1	
響	ɕiɑŋ3	
啞	ŋa3	
哥	ko1	
哪	na3	
哭	kʰu7	
哼	xən1	
唆	so1	
脣	tʂʰʯən2	
唐	tʰɑŋ2	
售	tʂʰəu6	
唯	uei2	
唱	tʂʰɑŋ5	
啃	kʰin3	
啄	tʂo1	
商	ʂɑŋ1	
啼	tʰi2	
喂	uei5	
善	ʂan6	
喉	xəu2	
喊	xan3	
喘	tʂʰʯan3	
喜	ɕi3	
喝	xo7	
噴	pʰən1	
噴	pʰən5	
喻	ʯ6	
嗓	sɑŋ3	
嗽	səu5	
嘉	tɕia1	
囑	tʂʯ7	
嘴	tsei1	
器	tɕʰi5	
嚏	tʰi5	
嚷	ʐɑŋ3	
嚼	tɕʰio6	
囊	nɑŋ2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰon2	
囥	kʰɑŋ5	
園	ʯan2	
困	kʰuən5	
圍	uei2	
固	ku5	
國	ko7	
圖	tʰəu2	
圃	pʰu3	
圓	ʯan2	
圈	tʂʰʯan1	
土	tʰəu3	
聖	ʂən5	
在	tsʰai6	
地	tʰi6	
場	tʂʰɑŋ3	
址	tʂʅ3	
均	tʂʯən1	
坍	tʰan1	
坎	kʰan3	
壞	xuai6	
坐	tsʰo6	
坑	kʰin1	
塊	kʰuai5	
堅	tɕiɛn1	
坛	tʰon2	
墳	fən2	
墜	tʂʯei5	
坡	pʰo1	
坤	kʰuən1	鸡你太美
坦	tʰan3	
坪	pʰin2	
坳	ŋɑu5	
壠	loŋ3	
型	ɕin2	
垠	uei1	
墾	kʰin3	
垮	kʰua3	
埂	kin3	
埋	mai2	
城	tʂʰən2	
埠	pʰu5	
基	tɕi1	
堂	tʰɑŋ2	
堆	tei1	
堡	pɑu3	
堤	tʰi2	
堪	kʰon1	
堵	təu3	
塌	tʰa7	
塑	so7	
塔	tʰa7	
塘	tʰɑŋ2	
塞	sai1	
塞	sai5	～外
塞	se7	
境	tɕin5	
墓	mu6	
牆	tɕʰiɑŋ2	
增	tsən1	
墨	me7	
墩	tən1	
壁	pi7	
壕	xɑu2	
士	sɿ6	
壯	tʂʯɑŋ5	
聲	ʂən1	
殼	kʰo7	
壺	xu2	
處	tʂʰʯ3	
處	tʂʰʯ5	
備	pʰi6	
夏	ɕia6	
外	uai6	
多	to1	
夜	ie6	
够	kiəu5	
大	ta6	
大	tʰai6	～夫
太	tʰai5	
夫	fu1	
央	iɑŋ1	
夯	xɑŋ1	
失	ʂʅ7	
頭	tʰəu2	
夷	i2	
夾	ka7	
奪	tʰo6	
奈	nai6	
奉	foŋ6	
奮	fən5	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
獎	tɕiɑŋ3	
套	tʰɑu5	
奠	tiɛn5	
奧	ŋɑu5	
女	ɳʯ3	
奴	nəu2	
奶	nai1	祖母
奶	nai3	
好	xɑu3	
好	xɑu5	
如	ʯ2	
妃	fei1	
妄	uɑŋ6	
妝	tʂʯɑŋ1	
婦	fu6	
媽	ma1	
妓	tɕʰi6	
妖	iɑu1	
妙	miɑu6	
妥	tʰo3	
妨	fɑŋ2	
妹	mei6	
妻	tɕʰi1	
妾	tɕʰie7	
姆	mu3	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iɑu2	
姜	tɕiɑŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
姿	tsʰɿ2	
威	uei1	
嬌	tɕiɑu1	
娘	ȵiɑŋ2	
娛	ʯ2	
婆	pʰo2	
婊	piɑu3	
婚	xuən1	
嬰	in1	
嬸	ʂən3	
媒	mei2	
媳	ɕi7	
嫁	ka5	
嫂	sɑu3	
嫌	ɕiɛn2	
嫖	pʰiɑu2	
嫩	lən6	
嬉	ɕi3	
子	tsɿ3	
孔	kʰoŋ3	
孕	ʯən6	
字	tsʰɿ6	
存	tsʰən2	
孫	sən1	
孝	ɕiɑu5	
孟	ʯ2	
孟	moŋ6	
季	tɕi5	
孤	ku1	
學	ɕio6	
孩	xai2	
孬	nɑu1	
孽	ȵie7	
宅	tʂʰai6	
宇	ʯ3	
守	ʂəu3	
安	ŋon1	
宋	soŋ5	
完	xon2	
宏	xoŋ2	
宗	tsoŋ1	
官	kon1	
宙	tʂʰəu6	
定	tʰin6	
宜	ȵi2	
寶	pɑu3	
實	ʂʅ6	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰie7	
宣	ɕiɛn1	
室	ʂʅ7	
宮	koŋ1	
宰	tsai3	
害	xai6	
宴	iɛn5	
宵	ɕiɑu1	
家	ka1	
容	ioŋ2	
寬	kʰon1	
賓	pin1	
宿	səu7	
寄	tɕʰi2	
寄	tɕi5	
寅	in2	
寇	kʰiəu5	
富	fu5	
寒	xon2	
寓	ʯ3	
寢	tɕʰin3	
寞	mo7	
察	tʂʰa7	
寡	kua3	
寨	tʂʰai6	
寸	tsʰən5	
對	tei6	
寺	sɿ6	
尋	tɕʰin2	
導	tʰɑu6	
壽	ʂəu6	
封	foŋ1	
射	ʂe6	
將	tɕiɑŋ1	～军
將	tɕiɑŋ5	
尊	tsən1	
小	ɕiɑu3	
少	ʂɑu3	
少	ʂɑu5	
尖	tɕiɛn1	
尘	tʂʰən2	
尚	ʂɑŋ6	
嘗	ʂɑŋ2	
尤	iəu2	
堯	ȵiɑu2	
就	tɕʰiəu6	
屍	ʂʅ1	
尹	in3	
尺	tʂʰʅ7	
尼	ȵi2	
尽	tɕʰin6	
尾	uei3	
尿	ȵiɑu6	
局	tʂʯ7	
屁	pʰi5	
層	tsʰən2	
屄	pi1	
居	tʂʯ1	
屈	tʂʰʯ7	
屉	tʰi5	
屆	kai5	
屋	u7	
屌	tiɑu3	
屎	ʂʅ3	
屏	pʰin2	
展	tʂan3	
屬	ʂʯ7	
屠	tʰəu2	
屯	tʰən2	
山	ʂan1	
歲	sei5	
豈	tɕʰi2	
岑	tsʰən2	
岔	tʂʰa5	
崗	kɑŋ3	
島	tɑu3	
岭	lin3	
岳	io7	
岸	ŋon6	
峽	ɕia7	
峯	foŋ1	
崔	tsʰei1	
崖	ŋai2	
崩	pən1	
崽	tsai3	
嵌	kʰan5	
嶙	lin2	
川	tʂʰʯan1	
州	tʂəu1	
巡	ʂʯən2	
巢	tʂʰɑu2	
工	koŋ1	
左	tso3	
巧	tɕʰiɑu3	
鞏	koŋ3	
巫	u1	
差	tsʰɿ1	参～
差	tʂʰa1	
差	tʂʰai1	出～
己	tɕi3	
已	i3	
已	tsʰɿ6	
巴	pa1	
巷	xɑŋ6	
巾	tɕin1	
幣	pʰi6	
市	ʂʅ6	
布	pu5	
帥	ʂʯai5	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tʂɑŋ5	
帖	tʰie7	
帚	tʂəu3	
帝	ti7	
帶	tai1	
帶	tai5	
席	ɕi6	
幫	pɑŋ1	
常	tʂʰɑŋ2	
帽	mɑu6	
幕	mu6	
平	pʰin2	
年	ȵiɛn2	
并	pin5	
幸	ɕin6	
幽	iəu1	
廣	kuɑŋ3	
莊	tʂʯɑŋ1	
慶	tɕʰin5	
牀	tʂʰʯɑŋ2	
序	ɕi6	
廬	ləu2	
庫	kʰu5	
應	in5	
廟	miɑu6	
庚	kin1	
府	fu3	
龐	pʰɑŋ2	
廢	fei5	
度	tʰəu6	
座	tsʰo6	
庭	tʰin2	
庵	ŋon1	
康	kʰɑŋ1	
庸	ioŋ1	
廉	liɛn2	
廊	lɑŋ2	
延	iɛn2	
廷	tʰin2	
建	tɕiɛn5	
開	kʰai1	
异	i6	
弃	tɕʰi5	
弄	noŋ6	
弄	loŋ6	
弊	pi5	
式	ʂʅ5	～样
弓	koŋ1	
引	in3	
弟	tʰi6	
張	tʂɑŋ1	
弦	ɕiɛn2	
彎	uan1	
弱	ʐo7	
彈	tʰan2	
彈	tʰan6	
强	tɕʰiɑŋ2	
强	tɕʰiɑŋ3	
歸	kuei1	
當	tɑŋ1	
當	tɑŋ5	
录	ləu7	
形	ɕin2	
彩	tsʰai3	
彪	piɑu1	
彭	pʰən2	
影	in3	
徹	tʂʰe7	
彼	pi3	
往	uɑŋ3	
征	tʂən1	
徑	tɕin5	
待	tai1	
很	xən3	
律	li7	
徐	tɕʰi2	
徒	tʰəu2	
得	te7	
微	uei2	
德	te7	
徽	xuei1	
心	ɕin1	
必	pi7	
憶	i5	
忍	ʯən3	
志	tʂʅ5	
忘	uɑŋ6	
忙	mɑŋ1	
忠	tʂoŋ1	
憂	iəu1	
快	kʰuai5	
念	ȵiɛn6	
懷	xuai2	
態	tʰai6	
怎	tsən3	
怒	nəu6	
怕	pʰa5	
憐	liɛn2	
思	sɿ1	
怠	tai6	
急	tɕi7	
性	sən1	
性	ɕin5	
怨	ʯan5	
怪	kuai5	
怯	tɕʰie7	
總	tsoŋ3	
恐	kʰoŋ3	
恆	xən2	
恕	ʂʯ5	
恢	xuei1	
恨	xən6	
恩	ŋin1	
恭	koŋ1	
息	ɕi7	
恰	ɕi7	
恰	ko7	
懇	kʰin3	
恶	u5	
恶	uo7	
惱	nɑu3	
悄	tɕʰiɑu1	
悔	xuei5	
悟	u5	
悠	iəu1	
懸	ʂʯan2	
悲	pei1	
情	tɕʰin2	
驚	tɕin1	
惑	xo6	
慘	tsʰon3	
愜	tɕʰie7	
慚	tsʰan2	
慣	kuan5	
惰	tʰo6	
想	ɕiɑŋ3	
惹	ʯe3	
愁	tsʰəu2	
愉	ʯ2	
意	i5	
愚	ʯ2	
感	kon3	
愧	kʰuei5	
願	ʯan6	
慈	tsʰɿ2	
慌	xuɑŋ1	
慰	uei5	
慷	kʰɑŋ1	
憋	pie7	
懂	toŋ3	
懈	ɕiai6	
懊	ŋɑu5	
懶	lan3	
戈	ko1	
戊	u6	
戌	ɕi7	
戲	ɕi5	
成	tʂʰən2	
我	ŋo3	
戒	kai5	
或	xo6	
戰	tʂan5	
戚	tɕʰi7	
截	tɕie7	
戮	tʂʰo7	
戴	tai5	
戶	xu6	
房	fɑŋ2	
所	so3	
扁	piɛn3	
扇	ʂan5	
手	ʂəu3	
才	tsʰai2	
扎	tʂa7	
扑	pʰu7	
扒	pa1	
扒	pʰa2	～手
打	ta3	
托	tʰo7	
扛	kʰɑŋ2	
扣	kʰiəu5	
執	tʂʅ7	
擴	kʰo7	
掃	sɑu5	
揚	iɑŋ2	
扯	tʂʰe3	
擾	ʐɑu3	
扳	pan1	
扶	fu2	
批	pʰi1	
找	tʂɑu3	
承	tʂʰən2	
技	tɕʰi6	
抄	tʂʰɑu1	
把	pa3	
抓	tʂʯa1	
投	tʰəu2	
抖	təu3	
抗	kʰɑŋ5	
抛	pʰɑu1	
摳	kʰiəu1	
搶	tɕʰiɑŋ3	
護	xu6	
報	pɑu5	
披	pʰi1	
抬	tʰai2	
抱	pʰɑu6	
抵	ti3	
抹	ma7	
押	ia7	
抽	tʂʰəu1	
抿	min3	
擔	tan1	
擔	tan5	
拆	tʂʰe7	
拇	mu3	
拉	la1	
拌	pʰon6	
拍	pʰe7	
拎	lin1	
拐	kuai3	
拔	pʰa6	
拖	tʰo1	
拗	ŋɑu5	
拘	tʂʯ1	
招	tʂɑu1	
拜	pai5	
擬	ȵi3	
攏	loŋ3	
攔	lan2	
撥	po7	
撥	pʰo7	
擇	tsʰe7	
拱	koŋ3	
拳	tʂʰʯan2	
拼	pʰin1	
拽	tʂʯai5	
拾	ʂʅ6	
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tʂʅ3	
按	ŋon5	
挑	tʰiɑu1	
挖	ua7	
撓	nɑu2	
擋	tɑŋ3	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	
振	tʂən5	
挺	tʰin3	
挽	uan3	
捆	kʰuən3	
捉	tʂo7	
捏	ȵie7	
捐	tʂʯan1	
捕	pʰu3	
撈	lɑu1	
損	sən3	
換	xon6	
搗	tɑu3	
捧	pʰoŋ3	
据	tʂʯ5	
捶	tʂʰʯei2	
捷	tɕie7	
捺	na7	
掀	ɕiɛn1	
掇	to7	
授	ʂəu6	
掉	tiɑu5	
掌	tʂɑŋ3	
掏	tʰɑu1	
掐	kʰa7	
排	pʰai2	
探	tʰon5	
接	tɕie7	
控	tɕʰiɑŋ1	
控	kʰoŋ5	
推	tʰei1	
推	uei2	
掩	iɛn2	
掩	iɛn3	
措	tsʰo5	
掰	pai1	
擲	tʂʅ7	
撣	tan3	
提	tʰi2	
握	ŋai2	
握	u7	
揣	tʂʰʯai1	
揪	tɕiəu1	
援	ʯan2	
攬	lan3	
攙	tʂʰan1	
擱	ko7	
摟	ləu1	
搓	tsʰo1	
搜	səu1	
搞	kɑu3	
搬	pon1	
搽	tʂʰa2	
摆	pai3	
摇	iɑu2	
攤	tʰan1	
摔	ʂʯai1	
摘	tʂe7	
摸	mo1	
摺	tʂe7	
撂	liɑu6	
撇	pʰie7	
撑	tsʰən1	
撒	sa3	
撒	sa7	
撕	sɿ1	
撞	tʂʰʯɑŋ3	
撩	liɑu2	
撮	tso7	
擀	kon3	
操	tsʰɑu1	
擦	tsʰa7	
攢	tsan5	
攘	ʐɑŋ3	
支	tʂʅ1	
收	ʂəu1	
改	kai3	
攻	koŋ1	
放	fɑŋ5	
政	tʂən5	
故	ku5	
效	ɕiɑu6	
敵	ti7	
敏	min3	
救	tɕiəu5	
敖	ŋɑu2	
教	tɕiɑu1	
教	tɕiɑu5	
斂	liɛn5	
敝	pi5	
敞	tʂʰɑŋ3	
敢	kon3	
散	san3	
散	san5	
敬	tɕin5	
數	səu3	
數	səu5	
敲	kʰo7	
整	tʂən3	
敷	fu1	
文	uən2	
斋	tʂai1	
斑	pan1	
斗	təu3	
料	liɑu6	
斟	tʂən1	
斡	kon5	
斤	tɕin1	
斥	tʂʰʅ5	
斧	fu3	
斬	tʂan3	
斷	tʰon6	
斯	sɿ1	
新	ɕin1	
方	fɑŋ1	
施	ʂʅ1	
旁	pʰɑŋ2	
旅	ʯ3	
旋	ɕiɛn6	
族	tsʰəu6	
旗	tɕʰi2	
无	u2	
日	ʐʅ7	
旦	tan5	
舊	tɕʰiəu6	
早	tsɑu3	
旬	ɕin2	
旱	xon6	
時	ʂʅ2	
旺	uɑŋ6	
昆	kʰuən1	
昌	tʂʰɑŋ1	
明	min2	
昏	xuən1	
易	i6	
昔	ɕi7	
星	ɕin1	
映	in5	
春	tʂʰʯən1	
昨	tsʰo7	
是	ʂʅ6	
晝	tʂəu5	
顯	ɕiɛn3	
晃	tʂʰɑu2	
晃	xuɑŋ5	
晉	tɕin5	
晏	ŋan5	
曬	ʂai5	
曉	ɕiɑu3	
暈	ʯən6	
晚	uan3	
晨	tʂʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕin1	
晶	tɕin1	
智	tʂʅ5	
暫	tsʰan6	
暑	ʂʯ3	
暖	non3	
暗	ŋon5	
暴	pʰɑu6	
更	kin1	
更	kin5	
曹	tsʰɑu2	
曾	tsən1	
曾	tsʰən2	
替	tʰi5	
最	tsei5	
最	se7	
月	ʯe7	
有	iəu3	
朋	pʰoŋ2	
服	lo2	
服	fu6	
朗	lɑŋ3	
望	uɑŋ6	
朝	tʂɑu1	
朝	tʂʰɑu2	
期	tɕʰi1	
朦	moŋ1	
木	mu7	
未	uei6	
末	mo7	
本	pən3	
札	tʂa7	
术	ʂʯ7	
朱	tʂʯ1	
朴	pʰu7	
機	tɕi1	
朽	ɕiəu3	
殺	ʂa7	
雜	tsa7	
權	tʂʰʯan2	
杆	kon3	
杈	tʂʰa1	
杉	ʂa1	
李	li3	
李	tɕi5	
杏	ɕin6	
材	tsʰai2	
村	tsʰən1	
杖	tʂʰɑŋ6	
束	ʂʯ7	
杠	kɑŋ5	
條	tʰiɑu2	
來	lai2	
楊	iɑŋ2	
杭	xɑŋ2	
杯	pei1	
杰	tɕʰie6	
松	soŋ1	
板	pan3	
構	kiəu5	
枇	pʰi2	
析	ɕi7	
枕	tʂən3	
林	lin2	
果	ko3	
枝	tʂʅ1	
樅	tsoŋ1	～阳
樞	ŋiəu5	
棗	tsɑu3	
槍	tɕʰiɑŋ1	
楓	foŋ1	
枯	kʰu1	
架	ka5	
柄	pin5	
柏	pe7	
柑	kon1	
染	ʯan3	
柔	ʐəu2	
查	tʂa1	
柱	tʂʰʯ6	
柳	liəu3	
柴	tʂʰai2	
柿	tsʰɿ6	
標	piɑu1	
棟	toŋ5	
欄	lan2	
樹	ʂʯ6	
栓	ʂʯan1	
校	ɕiɑu6	
樣	iɑŋ6	
核	xe6	
根	kin1	
格	kie7	
栽	tsai1	
桂	kuei5	
桃	tʰɑu2	
桅	tʂʅ1	
桅	uei2	
框	kʰuɑŋ1	
案	kʰo1	
案	ŋon5	
桌	tʂo7	
桑	sɑŋ1	
桔	tʂʯ7	
檔	tɑŋ1	
橋	tɕʰiɑu2	
槳	tɕiɑŋ3	
梁	liɑŋ2	
梅	mei2	
梓	tsɿ3	
梗	kin3	
夢	moŋ6	
梨	li2	
梭	so1	
梯	tʰi1	
梳	səu1	
檢	tɕiɛn3	
棉	niɛn2	
棋	tɕʰi2	
棍	kuən5	
棒	pɑŋ5	
棕	tsoŋ1	
棚	pʰoŋ2	
棠	tʰɑŋ2	
森	sən1	
棵	kʰo1	
棺	kon1	
椅	i3	
植	tʂʰʅ6	
椒	tɕiɑu1	
椽	tʂʰʯan2	
椿	tʂʰʯən1	
楚	tsʰəu3	
楷	kʰai3	
樓	ləu2	
概	kʰai5	
榜	pɑŋ3	
榨	tʂa5	
榴	liəu2	
榻	tʰa7	
槐	xuai2	
槽	tsʰɑu2	
樟	tʂɑŋ1	
模	mu2	
模	mo2	
橫	xuən2	
橫	xuɑŋ2	
櫻	in1	
樵	tɕʰiɑu2	
橘	tʂʯ7	
橙	tʂʰən2	
橡	ɕiɑŋ6	
檀	tʰan2	
欠	tɕʰiɛn5	
次	tsʰɿ5	
歡	xon1	
欣	ɕin1	
歐	ŋiəu1	
欺	tɕʰi1	
款	kʰon3	
歉	tɕʰiɛn5	
歌	ko1	
止	tʂʅ3	
正	tʂən1	
正	tʂən5	
此	tsʰɿ3	
步	pʰu6	
武	u3	
歪	uai1	
歹	tai3	
死	sɿ3	
殃	iɑŋ1	
殊	tʂʯ1	
殊	tʂʰʯ2	
殘	tsʰan2	
毆	ŋiəu1	
殷	in1	
毁	xuei3	
毅	ȵi6	
母	mu3	
每	mei3	
毒	tʰəu6	
比	pi3	
畢	pi7	
斃	pi5	
毛	mɑu2	
毫	xɑu2	
毯	tʰan3	
氏	ʂʅ6	
民	min2	
氓	mɑŋ1	
气	tɕʰi5	
水	ʂʯei3	
永	ʯən3	
汁	tʂʅ7	
求	tɕʰiəu2	
汇	xuei6	
漢	xon5	
汗	xon6	
江	tɕiɑŋ1	
污	u1	
