繁體	简体	音標	註釋	聲	韻	調							
簸	簸	pɔ˩˧		p	ɔ	˩˧							
頗	颇	pʰɔ˦˨		pʰ	ɔ	˦˨							
坡	坡	pʰɔ˧˥		pʰ	ɔ	˧˥							
玻	玻	pɔ˧˥		p	ɔ	˧˥							
頗	颇	pʰɔ˦˨	文讀	pʰ	ɔ	˦˨							
破	破	pʰɔ˩˧		pʰ	ɔ	˩˧							
婆	婆	pʰɔ˧˩		pʰ	ɔ	˧˩							
魔	魔	mᵇɔ˧˩		mᵇ	ɔ	˧˩							
麼	么	mᵇɔ˧˥	表疑問	mᵇ	ɔ	˧˥							
麼	么	mᵇɔ˧˩		mᵇ	ɔ	˧˩							
尛	尛	mᵇɔ˧˩		mᵇ	ɔ	˧˩							
磨	磨	mᵇɔ˧˩		mᵇ	ɔ	˧˩							
摩	摩	mᵇɔ˧˥		mᵇ	ɔ	˧˥							
磨	磨	mᵇɔ˩˧		mᵇ	ɔ	˩˧							
朵	朵	tɔ˧˥	耳朵	t	ɔ	˧˥							
朵	朵	tɔ˦˨		t	ɔ	˦˨							
朵	朵	tu̜˦˨	一朵花，幾朵花	t	u̜	˦˨							
𰹀	𰹀	tɔ˦˨		t	ɔ	˦˨							
軃	𰹀	tɔ˦˨		t	ɔ	˦˨							
躲	躲	tɔ˦˨		t	ɔ	˦˨							
躲	躲	tu̜˦˨		t	u̜	˦˨							
跥	跥	tɔ˦˨		t	ɔ	˦˨							
跥	跥	tɔ˩˧		t	ɔ	˩˧							
跺	跺	tɔ˩˧		t	ɔ	˩˧							
剁	剁	tɔ˩˧	剁，剁碎	t	ɔ	˩˧							
妥	妥	tʰɔ˦˨		tʰ	ɔ	˦˨							
橢	椭	tʰɔ˦˨		tʰ	ɔ	˦˨							
楕	楕	tʰɔ˦˨		tʰ	ɔ	˦˨							
媠	姷	tʰɔ˦˨		tʰ	ɔ	˦˨							
鵎	𱉻	tʰɔ˦˨		tʰ	ɔ	˦˨							
𨼰	𨼰	tʰɔ˦˨		tʰ	ɔ	˦˨							
㯐	㯐	tʰɔ˦˨		tʰ	ɔ	˦˨							
拕	拕	tʰɔ˦˨	延續	tʰ	ɔ	˦˨							
唾	唾	tʰɔ˩˧		tʰ	ɔ	˩˧							
隋	隋	tɔ˩˧	1.古代祭祀用的殘肉,殘食:[既祭,則藏其～]2.古同[墮],垂落	t	ɔ	˩˧							
陏	陏	tɔ˩˧	瓜類植物的果實	t	ɔ	˩˧							
惰	惰	tɔ˩˧		t	ɔ	˩˧							
墮	堕	tɔ˩˧		t	ɔ	˩˧							
囉	囉	l̃ɔ˧˥		l̃	ɔ	˧˥							
那	那	ɑ˩˧	口語表達	Ø	ɑ	˩˧							
那	那	l̃ɑ˩˧		l̃	ɑ	˩˧							
糯	糯	l̃ɔ˩˧	糯米	l̃	ɔ	˩˧							
騾	骡	l̃ɔ˧˩		l̃	ɔ	˧˩							
螺	螺	l̃ɔ˧˩		l̃	ɔ	˧˩							
腡	脶	l̃ɔ˧˩		l̃	ɔ	˧˩							
摞	摞	l̃ɔ˩˧	動詞，表示重疊	l̃	ɔ	˩˧							
睃	睃	sɔ˧˩		s	ɔ	˧˩							
銼	锉	t͡sʰɔ˩˧		t͡sʰ	ɔ	˩˧							
矬	矬	t͡sʰɔ˧˩		t͡sʰ	ɔ	˧˩							
坐	坐	t͡sɔ˩˧		t͡s	ɔ	˩˧							
座	座	t͡sɔ˩˧		t͡s	ɔ	˩˧							
蓑	蓑	sɔ˧˥		s	ɔ	˧˥							
梭	梭	sɔ˧˥		s	ɔ	˧˥							
唆	唆	sɔ˧˥		s	ɔ	˧˥							
趖	趖	sɔ˧˥	1.表示滑動。2.萎~~：表示萎靡不振的樣子	s	ɔ	˧˥							
鎖	锁	sɔ˦˨		s	ɔ	˦˨							
瑣	琐	sɔ˦˨		s	ɔ	˦˨							
鍋	锅	kɔ˧˥		k	ɔ	˧˥							
過	过	kɔ˩˧		k	ɔ	˩˧							
戈	戈	kɔ˧˥		k	ɔ	˧˥							
果	果	kɔ˦˨		k	ɔ	˦˨							
裹	裹	kɔ˦˨		k	ɔ	˦˨							
科	科	kʰɔ˧˥		kʰ	ɔ	˧˥							
棵	棵	kʰɔ˦˨		kʰ	ɔ	˦˨							
窠	窠	kʰɔ˦˨		kʰ	ɔ	˦˨							
顆	颗	kʰɔ˦˨		kʰ	ɔ	˦˨							
課	课	kʰɔ˩˧		kʰ	ɔ	˩˧							
訛	讹	ŋɔ˧		ŋ	ɔ	˧							
臥	卧	ɔ˩˧		Ø	ɔ	˩˧							
火	火	xɔ˦˨		x	ɔ	˦˨							
夥	伙	xɔ˦˨		x	ɔ	˦˨							
貨	货	xɔ˩˧		x	ɔ	˩˧							
禾	禾	xɔ˧˩		x	ɔ	˧˩							
和	和	xɔ˧˩		x	ɔ	˧˩							
禍	祸	xɔ˩˧		x	ɔ	˩˧							
和	和	xɔ˩˧		x	ɔ	˩˧							
倭	倭	ɔ˧˥		Ø	ɔ	˧˥							
窩	窝	ɔ˧˥		Ø	ɔ	˧˥							
捼	捼	zwɑ˧˩	動詞，表示揉	z	wɑ	˧˩							
瘸	瘸	t͡ɕʰy˧˩		t͡ɕʰ	y	˧˩							
靴	靴	ɕy˧˥		ɕ	y	˧˥							
䋈	䋈	l̃ɑ˦˨		l̃	ɑ	˦˨							
𧵅	𧵅	pɑ˧˥	張貼	p	ɑ	˧˥							
叭	叭	pɑ˧˥		p	ɑ	˧˥							
巴	巴	pɑ˧˥		p	ɑ	˧˥							
𩚥	𩠀	pɑ˧˥	糕點，如：糍～	p	ɑ	˧˥							
粑	粑	pɑ˧˥	陰平表示糕點之意	p	ɑ	˧˥							
疤	疤	pɑ˧˥		p	ɑ	˧˥							
芭	芭	pɑ˧˥		p	ɑ	˧˥							
笆	笆	pɑ˧˥		p	ɑ	˧˥							
把	把	pɑ˦˨		p	ɑ	˦˨							
粑	粑	pɑ˦˨	上聲作排泄物之意	p	ɑ	˦˨							
𬖍	𬖍	pɑ˦˨	表示排泄物，如：屎～～	p	ɑ	˦˨							
把	把	pɑŋ˦˨	把這個拿跟我，把飯吃了…	p	ɑŋ	˦˨							
爸	爸	pɑ˧˩		p	ɑ	˧˩							
欛	欛	pɑ˩˧		p	ɑ	˩˧							
𢺞	𢺞	pɑ˩˧	鋪床铺	p	ɑ	˩˧							
壩	坝	pɑ˩˧		p	ɑ	˩˧							
霸	霸	pɑ˩˧		p	ɑ	˩˧							
帕	帕	pʰɑ˩˧		pʰ	ɑ	˩˧							
怕	怕	pʰɑ˩˧		pʰ	ɑ	˩˧							
琶	琶	pɑ˧˥	琵琶	p	ɑ	˧˥							
琶	琶	pʰɑ˧˩		pʰ	ɑ	˧˩							
爬	爬	pɑ˧˥	白讀	p	ɑ	˧˥							
爬	爬	pʰɑ˧˩		pʰ	ɑ	˧˩							
杷	杷	pɑ˧˥	枇杷	p	ɑ	˧˥							
杷	杷	pʰɑ˧˩		pʰ	ɑ	˧˩							
耙	耙	pʰɑ˧˩		pʰ	ɑ	˧˩							
趴	趴	pʰɑ˦˨		pʰ	ɑ	˦˨							
麻	麻	mᵇɑ˧˩		mᵇ	ɑ	˧˩							
嘛	嘛	mᵇɑ˧˩		mᵇ	ɑ	˧˩							
蟆	蟆	mᵇɑ˧˥		mᵇ	ɑ	˧˥							
媽	妈	mᵇɑ˧˥	媽媽	mᵇ	ɑ	˧˥							
嗎	嗎	mᵇɑ̃˧˥	表疑問	mᵇ	ɑ̃	˧˥							
馬	马	mᵇɑ˦˨	馬虎一詞中馬虎均讀作陰平	mᵇ	ɑ	˦˨							
瑪	玛	mᵇɑ˦˨		mᵇ	ɑ	˦˨							
螞	蚂	mᵇɑ˦˨		mᵇ	ɑ	˦˨							
碼	码	mᵇɑ˦˨		mᵇ	ɑ	˦˨							
罵	骂	mᵇɑ˩˧		mᵇ	ɑ	˩˧							
拿	拿	l̃ɑ˧˩		l̃	ɑ	˧˩							
䏧	䏧	l̃ɑ˩˧		l̃	ɑ	˩˧							
詫	诧	t͡sʰɑ˩˧		t͡sʰ	ɑ	˩˧							
挓	挓	t͡sʰɑ˩˧	~輪子：插隊	t͡sʰ	ɑ	˩˧							
茶	茶	t͡sʰɑ˧˩		t͡sʰ	ɑ	˧˩							
搽	搽	t͡sʰɑ˧˩	搽臉，搽藥	t͡sʰ	ɑ	˧˩							
查	查	t͡sɑ˧˥		t͡s	ɑ	˧˥							
奓	奓	t͡sɑ˧˥	動詞，表示張開或阻止	t͡s	ɑ	˧˥							
揸	揸	t͡sɑ˧˥		t͡s	ɑ	˧˥							
渣	渣	t͡sɑ˧˥		t͡s	ɑ	˧˥							
喳	喳	t͡sɑ˧˥		t͡s	ɑ	˧˥							
鮓	鮓	t͡sɑ˦˨		t͡s	ɑ	˦˨							
䋾	䋾	t͡sɑ˦˨		t͡s	ɑ	˦˨							
𮛰	𮛰	t͡sɑ˦˨	動詞，表示為人撐場面	t͡s	ɑ	˦˨							
痄	痄	t͡sɑ˦˨		t͡s	ɑ	˦˨							
詐	诈	t͡sɑ˩˧		t͡s	ɑ	˩˧							
榨	榨	t͡sɑ˩˧		t͡s	ɑ	˩˧							
炸	炸	t͡sɑ˩˧		t͡s	ɑ	˩˧							
叉	叉	t͡sʰɑ˧˥		t͡sʰ	ɑ	˧˥							
杈	杈	t͡sʰɑ˧˥		t͡sʰ	ɑ	˧˥							
差	差	t͡sʰɑ˧˥		t͡sʰ	ɑ	˧˥							
蹅	蹅	t͡sʰɑ˧˥	表示用腳（踩）的動作，又作（䟕）	t͡sʰ	ɑ	˧˥							
䟕	䟕	t͡sʰɑ˧˥	表示用腳（踩）的動作，又作（蹅）	t͡sʰ	ɑ	˧˥							
衩	衩	t͡sʰɑ˦˨	衩～褲	t͡sʰ	ɑ	˦˨							
扠	扠	t͡sʰɑ˦˨	~嘴，張開	t͡sʰ	ɑ	˦˨							
差	差	t͡sʰɑ˩˧		t͡sʰ	ɑ	˩˧							
岔	岔	t͡sʰɑ˩˧		t͡sʰ	ɑ	˩˧							
汊	汊	t͡sʰɑ˩˧		t͡sʰ	ɑ	˩˧							
楂	楂	t͡sɑ˧˥		t͡s	ɑ	˧˥							
查	查	t͡sʰɑ˧˩		t͡sʰ	ɑ	˧˩							
㢒	㢒	t͡sʰɑ˧˩		t͡sʰ	ɑ	˧˩							
苴	苴	t͡sʰɑ˧˩		t͡sʰ	ɑ	˧˩							
槎	槎	t͡sʰɑ˧˩		t͡sʰ	ɑ	˧˩							
槎	槎	t͡sɑ˩˧		t͡s	ɑ	˩˧							
乍	乍	t͡sɑ˩˧		t͡s	ɑ	˩˧							
沙	沙	sɑ˧˥		s	ɑ	˧˥							
紗	纱	sɑ˧˥		s	ɑ	˧˥							
灑	洒	sɑ˦˨		s	ɑ	˦˨							
灑	洒	sɑ˧˥		s	ɑ	˧˥							
嘉	嘉	t͡ɕi̯ɑ˧˥		t͡ɕ	i̯ɑ	˧˥							
家	家	t͡ɕi̯ɑ˧˥		t͡ɕ	i̯ɑ	˧˥							
家	家	kɑ˧˥	白讀，如：家公，家家	k	ɑ	˧˥							
傢	家	t͡ɕi̯ɑ˧˥		t͡ɕ	i̯ɑ	˧˥							
加	加	t͡ɕi̯ɑ˧˥		t͡ɕ	i̯ɑ	˧˥							
假	假	t͡ɕi̯ɑ˦˨		t͡ɕ	i̯ɑ	˦˨							
賈	贾	t͡ɕi̯ɑ˦˨		t͡ɕ	i̯ɑ	˦˨							
稼	稼	t͡ɕi̯ɑ˩˧		t͡ɕ	i̯ɑ	˩˧							
假	假	t͡ɕi̯ɑ˩˧		t͡ɕ	i̯ɑ	˩˧							
價	价	t͡ɕi̯ɑ˩˧		t͡ɕ	i̯ɑ	˩˧							
架	架	t͡ɕi̯ɑ˩˧		t͡ɕ	i̯ɑ	˩˧							
駕	驾	t͡ɕi̯ɑ˩˧		t͡ɕ	i̯ɑ	˩˧							
嫁	嫁	t͡ɕi̯ɑ˩˧		t͡ɕ	i̯ɑ	˩˧							
伢	伢	jɑ˧˩		j	i̯ɑ	˧˩							
牙	牙	jɑ˧˩		j	i̯ɑ	˧˩							
芽	芽	jɑ˧˩		j	i̯ɑ	˧˩							
衙	衙	jɑ˧˩		j	i̯ɑ	˧˩							
雅	雅	jɑ˦˨		j	i̯ɑ	˦˨							
訝	讶	jɑ˩˧		j	i̯ɑ	˩˧							
迓	迓	jɑ˩˧		j	i̯ɑ	˩˧							
蝦	虾	ɕi̯ɑ˧˥		ɕ	i̯ɑ	˩˧							
𢩹	𢩹	ɕi̯ɑ˧˥	動詞，表示欺負，奪取他人錢財	ɕ	i̯ɑ	˩˧							
嚇	吓	ɕi̯ɑ˧	文讀	ɕ	i̯ɑ	˧							
霞	霞	ɕi̯ɑ˧˩		ɕ	i̯ɑ	˧˩							
䠍	䠍	ɕi̯ɑ˧˩		ɕ	i̯ɑ	˧˩							
遐	遐	ɕi̯ɑ˧˩		ɕ	i̯ɑ	˧˩							
瑕	瑕	ɕi̯ɑ˧˩		ɕ	i̯ɑ	˧˩							
下	下	ɕi̯ɑ˩˧		ɕ	i̯ɑ	˩˧							
下	下	xɑ˩˧	一下 等下	x	ɑ	˩˧							
下	下	xɑ˧˩	地下	x	ɑ	˧˩							
夏	夏	ɕi̯ɑ˩˧		ɕ	i̯ɑ	˩˧							
𢱈	𢱈	ɕi̯ɑ˩˧		ɕ	i̯ɑ	˩˧							
廈	厦	swɑ˦˨		s	wɑ	˦˨							
暇	暇	ɕi̯ɑ˩˧		ɕ	i̯ɑ	˩˧							
丫	丫	ɕi̯ɑ˧˥		j	i̯ɑ	˧˥							
鴉	鸦	wɑ˧˥	老鴉	Ø	wɑ	˧˥							
鴉	鴉	jɑ˧˥		j	i̯ɑ	˧˥							
埡	埡	jɑ˧˥		j	i̯ɑ	˧˥							
啞	啞	jɑ˦˨		j	i̯ɑ	˦˨							
亞	亞	jɑ˩˧		j	i̯ɑ	˩˧							
嗟	嗟	t͡ɕi˧˥		t͡ɕ	i	˧˥							
姐	姐	t͡ɕi˦˨		t͡ɕ	i	˦˨							
借	借	t͡ɕi˩˧		t͡ɕ	i	˩˧							
且	且	t͡ɕʰi˦˨		t͡ɕʰ	i	˦˨							
藉	藉	t͡ɕi˩˧		t͡ɕ	i	˩˧							
褯	褯	t͡ɕi˩˧		t͡ɕ	i	˩˧							
些	些	ɕi˧˥		ɕ	i	˧˥							
寫	写	ɕi˦˨		ɕ	i	˦˨							
瀉	泻	ɕi˦˨		ɕ	i	˦˨							
卸	卸	ɕi˩˧		ɕ	i	˩˧							
邪	邪	ɕi˧˩		ɕ	i	˧˩							
斜	斜	ɕi̯ɑ˧˩	白讀	ɕ	i̯ɑ	˧˩							
斜	斜	ɕi˧˩	文讀	ɕ	i	˧˩							
謝	谢	ɕi˩˧		ɕ	i	˩˧							
爹	爹	ti˧˥		t	i	˧˥							
遮	遮	t͡szᵚ˧˥	遮陽傘 遮著	t͡s	zᵚ	˧˥							
遮	遮	t͡se̞ɪ̯˧˥		t͡s	e̞ɪ̯	˧˥							
者	者	t͡ɕi˦˨	口語白讀：或者	t͡ɕ	i	˦˨							
者	者	t͡se̞ɪ̯˦˨		t͡s	e̞ɪ̯	˦˨							
蔗	蔗	t͡szᵚ˦˨	甘蔗杆	t͡s	zᵚ	˦˨							
蔗	蔗	t͡sʰe̞ɪ̯˩˧		t͡sʰ	e̞ɪ̯	˩˧							
炙	炙	t͡szᵚ˩˧		t͡s	zᵚ	˩˧							
俥	俥	t͡sʰe̞ɪ̯˧˥	借（錢）	t͡sʰ	e̞ɪ̯	˧˥							
車	車	t͡sʰe̞ɪ̯˧˥		t͡sʰ	e̞ɪ̯	˧˥							
扯	扯	t͡sʰe̞ɪ̯˦˨		t͡sʰ	e̞ɪ̯	˦˨							
撦	扯	t͡sʰe̞ɪ̯˦˨		t͡sʰ	e̞ɪ̯	˦˨							
蛇	蛇	se̞ɪ̯˧˩		s	e̞ɪ̯	˧˩							
𥍸	𥍸	se̞ɪ̯˧˩		s	e̞ɪ̯	˧˩							
闍	阇	se̞ɪ̯˧˩		s	e̞ɪ̯	˧˩							
射	射	se̞ɪ̯˩˧		s	e̞ɪ̯	˩˧							
麝	麝	se̞ɪ̯˩˧		s	e̞ɪ̯	˩˧							
畲	畲	se̞ɪ̯˧˥		s	e̞ɪ̯	˧˥							
奢	奢	se̞ɪ̯˧˥		s	e̞ɪ̯	˧˥							
賒	赊	se̞ɪ̯˧˥		s	e̞ɪ̯	˧˥							
捨	舍	se̞ɪ̯˦˨		s	e̞ɪ̯	˦˨							
赦	赦	se̞ɪ̯˩˧		s	e̞ɪ̯	˩˧							
舍	舍	se̞ɪ̯˩˧		s	e̞ɪ̯	˩˧							
猞	猞	se̞ɪ̯˩˧	～猁	s	e̞ɪ̯	˩˧							
社	社	se̞ɪ̯˩˧		s	e̞ɪ̯	˩˧							
婼	婼	ze̞ɪ̯˧˩	婼羌西域國名	z	e̞ɪ̯	˧˩							
惹	惹	ze̞ɪ̯˦˨		z	e̞ɪ̯	˦˨							
耶	耶	ji˧˥		j	i	˧˥							
椰	椰	ji˧˥		j	i	˧˥							
爺	爷	ji˧˩		j	i	˧˩							
冶	冶	ji˦˨		j	i	˦˨							
也	也	ji˦˨		j	i	˦˨							
也	也	ji˦˨		j	i	˦˨							
野	野	ji˦˨		j	i	˦˨							
夜	夜	ji˩˧		j	i	˩˧							
傻	傻	sɑ˦˨		s	ɑ	˦˨							
𦔯	𦔯	sɑ˩˧		s	ɑ	˩˧							
耍	耍	swɑ˦˨		s	wɑ	˧˥							
誜	誜	swɑ˩˧		s	wɑ	˩˧							
髽	髽	t͡swɑ˧˥		t͡s	wɑ	˧˥							
䊬	䊬	t͡sʰwɑ˦˨		t͡sʰ	wɑ	˦˨							
瓜	瓜	kwɑ˧˥		k	wɑ	˧˥							
蝸	蜗	ɔ˧˥		Ø	ɔ	˧˥							
寡	寡	kwɑ˦˨		k	wɑ	˧˥							
剮	剐	kwɑ˦˨		k	wɑ	˦˨							
咵	咵	kʰwɑ˦˨		kʰ	wɑ	˦˨							
垮	垮	kʰwɑ˦˨		kʰ	wɑ	˦˨							
跨	跨	kʰɑ˧˩	白讀，作動詞	kʰ	ɑ	˧˩							
跨	跨	kʰwɑ˩˧		kʰ	wɑ	˩˧							
胯	胯	kʰwɑ˩˧		kʰ	wɑ	˩˧							
娃	娃	wɑ˧˩		Ø	wɑ	˧˩							
㧚	㧚	wɑ˦˨	動詞，表示舀	Ø	wɑ	˦˨							
佤	佤	wɑ˦˨		Ø	wɑ	˦˨							
瓦	瓦	wɑ˦˨		Ø	wɑ	˦˨							
䠚	䠚	wɑ˩˧		Ø	wɑ	˩˧							
搲	攨	wɑ˩˧	～憋憋：人生氣（或傷心時）發出的高亢而淒慘聲音的樣子	Ø	wɑ	˩˧							
花	花	xwɑ˧˥		X	wɑ	˧˥							
化	化	xwɑ˩˧		X	wɑ	˩˧							
樺	桦	xwɑ˧˩		X	wɑ	˧˩							
華	华	xwɑ˧˩		X	wɑ	˧˩							
劃	劃	xwɑ˩˧	文讀，如計劃	x	wɑ	˩˧							
華	华	xwɑ˩˧		X	wɑ	˩˧							
蛙	蛙	wɑ˧˥		Ø	wɑ	˧˥							
窪	洼	wɑ˧˥		Ø	wɑ	˧˥							
補	补	pu̜˦˨		p	u̜	˦˨							
譜	谱	pʰu̜˦˨		pʰ	u̜	˦˨							
布	布	pu̜˩˧		p	u̜	˩˧							
佈	布	pu̜˩˧		p	u̜	˩˧							
鋪	铺	pʰu̜˧˥		pʰ	u̜	˧˥							
普	普	pʰu̜˦˨		pʰ	u̜	˦˨							
溥	溥	pʰu̜˦˨	溥儀	pʰ	u̜	˦˨							
浦	浦	pʰu̜˦˨		pʰ	u̜	˦˨							
鋪	铺	pʰu̜˩˧		pʰ	u̜	˩˧							
怖	怖	pu̜˩˧		p	u̜	˩˧							
菩	菩	pʰu̜˧˩		pʰ	u̜	˧˩							
蒲	蒲	pʰu̜˧˩		pʰ	u̜	˧˩							
脯	脯	pʰu̜˧˩		pʰ	u̜	˧˩							
脯	脯	fʋ̩˦˨		f	ʋ̩	˦˨							
部	部	pu̜˩˧		p	u̜	˩˧							
簿	簿	pu̜˩˧		p	u̜	˩˧							
步	步	pu̜˩˧		p	u̜	˩˧							
捕	捕	pʰu̜˦˨	捕捉（白讀）	pʰ	u̜	˦˨							
捕	捕	pu̜˦˨		p	u̜	˦˨							
埠	埠	fʋ̩˩˧		f	ʋ̩	˩˧							
摸	摸	mᵇɔ˧˥		mᵇ	ɔ	˧˥							
膜	膜	mᵇu̜˧˩		mᵇ	u̜	˧˩							
𭟒	𭟒	mᵇu̜˧˩	推測猜測	mᵇ	u̜	˧˩							
謨	谟	mᵇu̜˧˩	回憶	mᵇ	u̜	˧˩							
模	模	mᵇu̜˧˩		mᵇ	u̜	˧˩							
慔	慔	mᵇu̜˩˧	~腦殼：形容人傻，笨，不聰明的樣子	mᵇ	u̜	˩˧							
暮	暮	mᵇɔ˩˧		mᵇ	ɔ	˩˧							
墓	墓	mᵇɔ˩˧		mᵇ	ɔ	˩˧							
慕	慕	mᵇɔ˩˧		mᵇ	ɔ	˩˧							
仫	仫	mᵇɔ˩˧		mᵇ	ɔ	˩˧							
都	都	tu̜˧˥		t	u̜	˧˥							
闍	阇	tu̜˧˥		t	u̜	˧˥							
堵	堵	tu̜˦˨		t	u̜	˦˨							
賭	赌	tu̜˦˨		t	u̜	˦˨							
肚	肚	tu̜˦˨	肚子	t	u̜	˦˨							
妒	妒	tu̜˩˧		t	u̜	˩˧							
蠹	蠹	tu̜˩˧		t	u̜	˩˧							
土	土	tʰu̜˦˨		tʰ	u̜	˦˨							
吐	吐	tʰu̜˦˨		tʰ	u̜	˦˨							
兔	兔	tʰu̜˩˧		tʰ	u̜	˩˧							
途	途	tʰu̜˧˩		tʰ	u̜	˧˩							
鈽	钸	pu̜˧˥		p	u̜	˧˥							
屠	屠	tʰu̜˧˩		tʰ	u̜	˧˩							
圖	图	tʰu̜˧˩		tʰ	u̜	˧˩							
徒	徒	tʰu̜˧˩		tʰ	u̜	˧˩							
肚	肚	tɔ˩˧	肚皮	t	ɔ	˩˧							
肚	肚	tu̜˩˧		t	u̜	˩˧							
杜	杜	tu̜˩˧		t	u̜	˩˧							
度	度	tu̜˩˧		t	u̜	˩˧							
渡	渡	tu̜˩˧		t	u̜	˩˧							
鍍	镀	tu̜˩˧		t	u̜	˩˧							
奴	奴	l̃u̜˧˩		l̃	u̜	˧˩							
努	努	l̃u̜˦˨		l̃	u̜	˦˨							
怒	怒	l̃u̜˩˧		l̃	u̜	˩˧							
驢	驢	l̃u̜˧˩		l̃	u̜	˧˩							
盧	卢	l̃u̜˧˩		l̃	u̜	˧˩							
嚧	𠰷	l̃u̜˧˩	嘴裏~著糖，表示嘴裏含著糖	l̃	u̜	˧˩							
爐	炉	l̃u̜˧˩		l̃	u̜	˧˩							
鹵	卤	l̃u̜˦˨		l̃	u̜	˦˨							
魯	鲁	l̃u̜˦˨		l̃	u̜	˦˨							
櫓	橹	l̃u̜˦˨		l̃	u̜	˦˨							
虜	虏	l̃u̜˦˨		l̃	u̜	˦˨							
露	露	l̃u̜˩˧		l̃	u̜	˩˧							
潞	潞	l̃u̜˩˧		l̃	u̜	˩˧							
璐	璐	l̃u̜˩˧		l̃	u̜	˩˧							
簬	簬	l̃u̜˩˧		l̃	u̜	˩˧							
鷺	鹭	l̃u̜˩˧		l̃	u̜	˩˧							
𦌕	𦌕	l̃u̜˩˧		l̃	u̜	˩˧							
虂	虂	l̃u̜˩˧		l̃	u̜	˩˧							
